Plant,Block,Irrig,Fert,DI
1,1,R0,F0,27.19715
2,1,R0,F0,15.4259
3,1,R0,F0,35.0484
37,2,R0,F0,28.06465
38,2,R0,F0,23.5859
39,2,R0,F0,34.32215
73,3,R0,F0,34.19965
74,3,R0,F0,20.6584
75,3,R0,F0,15.9109
109,4,R0,F0,29.96215
110,4,R0,F0,28.87215
111,4,R0,F0,30.79465
4,1,R0,F1,37.17215
5,1,R0,F1,24.34965
6,1,R0,F1,28.02965
40,2,R0,F1,40.4763
41,2,R0,F1,36.6734
42,2,R0,F1,34.80465
76,3,R0,F1,28.3259
77,3,R0,F1,30.8913
78,3,R0,F1,25.8009
112,4,R0,F1,29.3159
113,4,R0,F1,25.61955
114,4,R0,F1,32.86465
7,1,R0,F2,40.43465
8,1,R0,F2,35.1384
9,1,R0,F2,39.59175
43,2,R0,F2,31.60215
44,2,R0,F2,37.9134
45,2,R0,F2,38.4716
79,3,R0,F2,39.61965
80,3,R0,F2,33.8184
81,3,R0,F2,39.89465
115,4,R0,F2,42.09715
116,4,R0,F2,40.80325
117,4,R0,F2,43.0534
10,1,R1,F0,47.35215
11,1,R1,F0,29.44465
12,1,R1,F0,24.37215
46,2,R1,F0,42.91215
47,2,R1,F0,27.49215
48,2,R1,F0,30.1534
82,3,R1,F0,40.91465
83,3,R1,F0,36.4084
84,3,R1,F0,30.5384
118,4,R1,F0,32.23965
119,4,R1,F0,44.35715
120,4,R1,F0,27.1209
13,1,R1,F1,27.98465
14,1,R1,F1,35.49465
15,1,R1,F1,35.18215
49,2,R1,F1,26.0934
50,2,R1,F1,32.68715
51,2,R1,F1,42.92215
85,3,R1,F1,36.35965
86,3,R1,F1,31.9084
87,3,R1,F1,26.21715
121,4,R1,F1,27.7184
122,4,R1,F1,37.11715
123,4,R1,F1,34.6084
16,1,R1,F2,32.8484
17,1,R1,F2,42.44465
18,1,R1,F2,46.2259
52,2,R1,F2,34.6384
53,2,R1,F2,31.92465
54,2,R1,F2,49.1059
88,3,R1,F2,32.3184
89,3,R1,F2,31.04715
90,3,R1,F2,49.5109
124,4,R1,F2,39.2309
125,4,R1,F2,44.9484
126,4,R1,F2,32.66465
19,1,R2,F0,33.3384
20,1,R2,F0,30.8534
21,1,R2,F0,36.95715
55,2,R2,F0,40.11215
56,2,R2,F0,30.7959
57,2,R2,F0,44.1859
91,3,R2,F0,36.6309
92,3,R2,F0,37.17215
93,3,R2,F0,37.69965
127,4,R2,F0,37.76215
128,4,R2,F0,29.66965
129,4,R2,F0,39.1159
22,1,R2,F1,45.32715
23,1,R2,F1,37.6859
24,1,R2,F1,32.5234
58,2,R2,F1,42.8559
59,2,R2,F1,38.53965
60,2,R2,F1,40.71715
94,3,R2,F1,46.7559
95,3,R2,F1,39.62215
96,3,R2,F1,30.3084
130,4,R2,F1,35.98715
131,4,R2,F1,39.5009
132,4,R2,F1,35.58215
25,1,R2,F2,42.8984
26,1,R2,F2,43.4484
27,1,R2,F2,57.0209
61,2,R2,F2,51.5484
62,2,R2,F2,49.73215
63,2,R2,F2,31.8584
97,3,R2,F2,38.08215
98,3,R2,F2,45.90465
99,3,R2,F2,44.3834
133,4,R2,F2,34.94715
134,4,R2,F2,46.14715
135,4,R2,F2,42.57965
28,1,R3,F0,36.8081
29,1,R3,F0,34.47215
30,1,R3,F0,37.5359
64,2,R3,F0,34.1259
65,2,R3,F0,30.3259
66,2,R3,F0,40.8559
100,3,R3,F0,38.63965
101,3,R3,F0,34.7909
102,3,R3,F0,37.91965
136,4,R3,F0,35.7059
137,4,R3,F0,41.21965
138,4,R3,F0,40.74965
31,1,R3,F1,40.4434
32,1,R3,F1,51.89715
33,1,R3,F1,41.42965
67,2,R3,F1,43.0984
68,2,R3,F1,48.5484
69,2,R3,F1,44.15715
103,3,R3,F1,42.7734
104,3,R3,F1,50.0184
105,3,R3,F1,46.06465
139,4,R3,F1,42.22715
140,4,R3,F1,50.79215
141,4,R3,F1,43.8784
34,1,R3,F2,48.7059
35,1,R3,F2,51.88965
36,1,R3,F2,53.99715
70,2,R3,F2,55.9984
71,2,R3,F2,57.7384
72,2,R3,F2,59.5284
106,3,R3,F2,48.47715
107,3,R3,F2,51.2984
108,3,R3,F2,51.7484
142,4,R3,F2,49.3984
143,4,R3,F2,50.99715
144,4,R3,F2,48.86965
