ID;bloque;biomasa;nivel_luz;agua_estival;supervivencia;carbono;estres
1;2;3.039767105;1;sequia;1;1.1310971424520684;alto
2;1;3.57351521;1;sequia;0;-0.9367460729589766;alto
3;2;3.669172407;1;sequia;1;1.862813733243598;alto
4;1;4.592333637;1;sequia;1;2.656652027859154;alto
5;1;4.337278433;1;sequia;1;2.159497999888141;alto
6;2;2.254230208;1;sequia;1;0.3623216338997903;alto
7;1;4.120927747;1;sequia;0;2.029752950607111;alto
8;1;2.450195201;1;sequia;1;1.4562507683018242;alto
9;1;4.460790449;1;sequia;0;0.4709176499812539;alto
10;1;3.50549022;1;sequia;0;1.7730523734091925;alto
11;1;3.494808318;1;sequia;1;3.113455080802667;alto
12;2;2.803401268;1;sequia;1;0.19660506542857445;alto
13;2;3.906774394;1;sequia;1;2.184515998044063;alto
14;2;3.161899808;1;sequia;1;1.048932963366045;alto
15;1;3.805578936;1;sequia;1;0.4526707224130316;alto
16;1;3.613398898;1;sequia;0;0.7783544407845988;alto
17;1;2.905758833;1;sequia;0;1.1680558486791714;alto
18;2;3.83390852;2;sequia;1;1.2200572140259578;intermedio
19;2;4.243265843;2;sequia;0;0.5191675740660754;intermedio
20;2;4.200554596;2;sequia;1;1.4579324893850738;intermedio
21;2;4.589319317;2;sequia;1;0.9662368686601882;intermedio
22;1;3.825999634;2;sequia;1;2.0962815196232665;intermedio
23;2;3.983745672;2;sequia;0;2.3080059285992576;intermedio
24;1;4.386828883;2;sequia;1;1.4511622161757085;intermedio
25;1;4.481018664;2;sequia;1;0.1953212687758368;intermedio
26;1;4.052700107;2;sequia;0;1.9979339412878097;intermedio
27;2;4.506790951;2;sequia;1;0.044138960973521026;intermedio
28;1;3.556636397;2;sequia;0;1.0555290604663772;intermedio
29;2;3.456546585;2;sequia;1;1.7207244142697802;intermedio
30;2;3.788769973;2;sequia;1;2.1990208287193562;intermedio
31;1;5.128334874;2;sequia;1;2.708133125299387;intermedio
32;2;4.666188083;2;sequia;1;2.75417914027636;intermedio
33;1;4.890898158;3;sequia;0;1.3703091424241545;intermedio
34;2;4.359968636;3;sequia;1;0.5836297678516993;intermedio
35;1;4.651058789;3;sequia;1;1.309543046907055;intermedio
36;1;4.004907311;3;sequia;1;3.0445712724625045;intermedio
37;2;3.775475238;3;sequia;1;2.30707103883821;intermedio
38;2;5.303348711;3;sequia;0;1.8117079704176504;intermedio
39;2;4.913395856;3;sequia;1;1.1555232236224364;intermedio
40;2;4.355570292;3;sequia;1;2.8017207981079433;intermedio
41;2;5.346758612;3;sequia;0;2.373670392622601;intermedio
42;2;4.210947477;3;sequia;0;1.747542804549909;intermedio
43;2;4.643838976;3;sequia;1;-0.13041616565061165;intermedio
44;2;3.762373176;3;sequia;1;2.611818567462047;intermedio
45;1;4.784045868;3;sequia;1;1.11203461625031;intermedio
46;1;5.061068511;3;sequia;0;2.4247679119944703;intermedio
47;1;4.732331057;1;lluvia;0;2.731900588809402;intermedio
48;2;4.940284857;1;lluvia;1;3.1628124090328753;intermedio
49;1;4.371103162;1;lluvia;1;2.8996199602482697;intermedio
50;1;4.792484194;1;lluvia;0;1.731965047027455;intermedio
51;1;5.155838957;1;lluvia;1;2.6300720778081037;intermedio
52;2;4.554048407;1;lluvia;0;-0.08085525663744782;intermedio
53;2;4.723659818;1;lluvia;1;1.8659308490485291;intermedio
54;1;4.227932386;1;lluvia;1;2.4424407299890873;intermedio
55;2;4.82789885;1;lluvia;1;1.605342846504391;intermedio
56;1;4.478339002;1;lluvia;1;0.8681608976277047;intermedio
57;2;4.580676753;1;lluvia;1;2.2269722004924692;intermedio
58;1;5.209544624;1;lluvia;1;2.3014803360125584;intermedio
59;2;3.889086016;1;lluvia;0;0.35138649976513825;intermedio
60;2;4.98408474;2;lluvia;1;0.8235679510254411;intermedio
61;2;3.739064897;2;lluvia;0;2.3771592689253915;intermedio
62;1;2.972022406;2;lluvia;0;0.9395695509228943;intermedio
63;1;3.883743897;2;lluvia;0;0.1145119560255127;intermedio
64;2;4.625732934;2;lluvia;1;2.299846392009881;intermedio
65;2;2.910897715;2;lluvia;1;0.8896212281081424;intermedio
66;2;3.133804555;2;lluvia;0;1.7842244727045444;intermedio
67;2;2.12011379;2;lluvia;1;1.2405933157083253;intermedio
68;2;3.755660112;2;lluvia;1;1.2612779216908798;intermedio
69;1;4.844169208;2;lluvia;1;0.6772403998936042;intermedio
70;1;4.795365093;2;lluvia;1;4.277051353311054;intermedio
71;2;4.137797896;2;lluvia;1;2.299262573373015;intermedio
72;1;3.620239758;2;lluvia;0;1.9476027648252916;intermedio
73;2;5.169997182;2;lluvia;0;0.30558245597163536;intermedio
74;1;5.101854445;2;lluvia;0;3.1686313257428704;intermedio
75;1;3.794693623;2;lluvia;1;1.2796823943101516;intermedio
76;1;2.544336787;3;lluvia;1;0.8413140935784936;bajo
77;1;3.92677188;3;lluvia;0;2.3862525250616673;bajo
78;1;3.94853509;3;lluvia;1;1.1754276806647015;bajo
79;2;4.316454725;3;lluvia;1;2.6024149414025923;bajo
80;2;2.861381915;3;lluvia;1;1.4946138733382792;bajo
81;1;3.740573058;3;lluvia;1;0.9184977044116961;bajo
82;2;3.361565018;3;lluvia;1;1.8024144075926902;bajo
83;1;4.354861314;3;lluvia;1;1.561145074355072;bajo
84;1;2.486575381;3;lluvia;0;1.4110949796795078;bajo
85;1;3.053993104;3;lluvia;1;1.0433211784629628;bajo
86;2;2.69510096;3;lluvia;0;1.2508508398184475;bajo
87;1;2.866570627;3;lluvia;1;0.36131645846690963;bajo
88;1;4.581868591;3;lluvia;0;2.099622641189995;bajo
89;1;2.35077431;3;lluvia;1;1.591730662575784;bajo
90;1;2.734193003;3;lluvia;0;1.1861176613024418;bajo
91;2;2.966241014;3;lluvia;0;1.8206320363716204;bajo
